code	name	placeName	Longitude	Latitude	num_accessible_stations_30m	num_accessible_stations_45m	num_accessible_stations_60m
9400ZZLUBNK	Bank Underground Station	Bank	-0.08895	51.51342	393	761	978
9400ZZLULNB	London Bridge Underground Station	London Bridge	-0.08887	51.50573	384	752	969
9400ZZLUWLO	Waterloo Underground Station	Waterloo	-0.11478	51.5033	384	764	964
9400ZZLUGPK	Green Park Underground Station	Green Park	-0.14278	51.50695	384	767	967
9400ZZLUWSM	Westminster Underground Station	Westminster	-0.12486	51.50132	375	767	962
9400ZZLUOXC	Oxford Circus Underground Station	Oxford Circus	-0.1419	51.51523	369	764	970
9400ZZLUSWK	Southwark Underground Station	Southwark	-0.10493	51.50398	366	747	965
9400ZZLUBND	Bond Street Underground Station	Bond Street	-0.14972	51.51431	363	750	960
9400ZZLUMGT	Moorgate Underground Station	Moorgate	-0.08832	51.51818	362	746	966
9400ZZLUTCR	Tottenham Court Road Underground Station	Tottenham Court Road	-0.13041	51.51643	359	753	965
9400ZZLUKSX	King's Cross St. Pancras Underground Station	King's Cross	-0.12319	51.53067	359	738	953
9400ZZLUVIC	Victoria Underground Station	Victoria	-0.1431	51.49636	358	745	958
9400ZZLUEMB	Embankment Underground Station	Embankment	-0.12266	51.50706	356	744	951
9400ZZLUEUS	Euston Underground Station	Euston	-0.13378	51.528	356	730	948
9400ZZLULSQ	Leicester Square Underground Station	Leicester Square	-0.12842	51.51139	354	745	957
9400ZZLULVT	Liverpool Street Underground Station	Liverpool Street	-0.08318	51.51738	351	721	954
9400ZZLUWRR	Warren Street Underground Station	Warren Street	-0.13832	51.52496	351	735	956
9100WATRLMN	London Waterloo Rail Station	Waterloo	-0.1131	51.5033	350	731	962
9400ZZLUHBN	Holborn Underground Station	Holborn	-0.12047	51.51758	350	737	950
9400ZZLUODS	Old Street Underground Station	Old Street	-0.08776	51.52587	349	740	955
9400ZZLUSPU	St. Paul's Underground Station	St Pauls	-0.09756	51.51494	348	732	949
9400ZZLUGDG	Goodge Street Underground Station	Goodge Street	-0.13436	51.5206	348	725	951
9400ZZLUCHX	Charing Cross Underground Station	Charing Cross	-0.12727	51.50741	347	741	953
9100LNDNBDE	London Bridge Rail Station	London Bridge	-0.08608	51.50511	344	705	945
9400ZZLUCHL	Chancery Lane Underground Station	Chancery Lane	-0.11158	51.51825	341	727	947
9400ZZDLBNK	Bank DLR Station	City of London	-0.08851	51.51324	339	722	945
9400ZZLUPCC	Piccadilly Circus Underground Station	Piccadilly Circus	-0.13379	51.51005	338	738	952
9100LNDNBDC	London Bridge Rail Station	London Bridge	-0.08609	51.50502	334	700	939
9400ZZLUBMY	Bermondsey Underground Station	Bermondsey	-0.06376	51.49796	329	715	950
9400ZZLUMBA	Marble Arch Underground Station	Marble Arch	-0.15895	51.51343	329	722	943
9400ZZLUAGL	Angel Underground Station	Angel	-0.10538	51.53177	329	721	938
9400ZZLUBST	Baker Street Underground Station	Marylebone	-0.15713	51.52289	328	718	945
9400ZZLUCGN	Covent Garden Underground Station	Covent Garden	-0.12443	51.5131	324	716	943
9400ZZLUBOR	Borough Underground Station	The Borough	-0.09336	51.5012	324	703	933
9100VICTRIC	London Victoria Rail Station	Victoria	-0.14455	51.49526	324	709	954
9400ZZLUMTC	Mornington Crescent Underground Station	Mornington Crescent	-0.13878	51.53468	322	691	929
9400ZZLUCWR	Canada Water Underground Station	Canada Water	-0.04972	51.49795	322	700	934
9100CANONST	London Cannon Street Rail Station	Cannon Street	-0.09029	51.51139	320	694	941
9100KNGX	London Kings Cross Rail Station	King's Cross	-0.12292	51.53089	319	683	929
9400ZZLUBBN	Barbican Underground Station	Barbican	-0.09799	51.52028	317	712	936
9400ZZLURSQ	Russell Square Underground Station	Russell Square	-0.12428	51.52308	314	686	923
9400ZZLUSJP	St. James's Park Underground Station	St James's Park	-0.1336	51.49955	313	718	944
9100MRGT	Moorgate Rail Station	Moorgate	-0.08894	51.5185	312	692	921
9100BLFR	London Blackfriars Rail Station	Blackfriars	-0.10333	51.51181	309	691	922
9100EUSTON	London Euston Rail Station	Euston	-0.13392	51.52814	309	678	919
9400ZZLUEAC	Elephant & Castle Underground Station	Elephant & Castle	-0.1006	51.49454	308	694	928
9400ZZLUKNG	Kennington Underground Station	Kennington	-0.10596	51.48834	308	703	929
9100VICTRIE	London Victoria Rail Station	Victoria	-0.14454	51.49526	307	700	948
9400ZZLUCST	Cannon Street Underground Station	Cannon Street	-0.09043	51.51151	307	684	926
9100LIVST	London Liverpool Street Rail Station	Liverpool Street	-0.08142	51.518	306	660	921
9400ZZLUFCN	Farringdon Underground Station	Farringdon	-0.10491	51.52026	304	695	934
9400ZZLUESQ	Euston Square Underground Station	Euston Square	-0.13582	51.52561	303	686	937
9400ZZLUHAI	Highbury & Islington Underground Station	Highbury & Islington	-0.10332	51.54636	303	646	912
9400ZZLULGT	Lancaster Gate Underground Station	Lancaster Gate	-0.17549	51.51173	303	682	925
9100STPADOM	London St Pancras International Rail Station	St Pancras	-0.12646	51.53252	303	651	932
9100OLDST	Old Street Rail Station	Old Street	-0.08853	51.52584	302	690	921
9400ZZLUHPC	Hyde Park Corner Underground Station	Hyde Park Corner	-0.15244	51.50304	302	702	929
9100CLPHMJM	Clapham Junction Rail Station	Clapham Junction	-0.17026	51.46419	298	649	920
9400ZZLUTMP	Temple Underground Station	Temple	-0.11426	51.51101	297	697	930
9400ZZLURGP	Regent's Park Underground Station	Regent's Park	-0.14644	51.52335	297	709	938
9400ZZLUTWH	Tower Hill Underground Station	Tower Hill	-0.07654	51.50998	295	675	913
9400ZZLUMSH	Mansion House Underground Station	Mansion House	-0.094	51.51212	293	681	921
9100CHRX	London Charing Cross Rail Station	Charing Cross	-0.1248	51.50803	293	704	939
9400ZZLUALD	Aldgate Underground Station	Aldgate	-0.07568	51.51425	293	671	920
9100STPXBOX	London St Pancras International LL Rail Station	St Pancras	-0.12734	51.53217	293	651	912
9400ZZLUBLG	Bethnal Green Underground Station	Bethnal Green	-0.0555	51.52723	293	642	908
9400ZZLUMMT	Monument Underground Station	Monument	-0.08596	51.5107	292	677	924
9100VAUXHLM	Vauxhall Rail Station	Vauxhall	-0.12289	51.48619	292	668	930
9400ZZLUNHG	Notting Hill Gate Underground Station	Notting Hill	-0.1961	51.50913	290	665	919
9400ZZLUQWY	Queensway Underground Station	Queensway	-0.18715	51.51032	290	656	915
9400ZZLUGPS	Great Portland Street Underground Station	Great Portland Street	-0.14426	51.52384	289	665	926
9100WLOE	London Waterloo East Rail Station	Waterloo	-0.10889	51.50408	289	699	936
9400ZZLUBKF	Blackfriars Underground Station	Blackfriars	-0.10365	51.51159	288	692	928
9400ZZLULBN	Lambeth North Underground Station	Lambeth North	-0.11231	51.49881	288	683	925
9400ZZDLSHA	Shadwell DLR Station	Shadwell	-0.05664	51.5117	286	649	906
9100ESSEXRD	Essex Road Rail Station	Islington	-0.09627	51.54071	285	643	903
9100CLPHMJC	Clapham Junction Rail Station	Clapham Junction	-0.17028	51.46419	285	636	915
9100FRNDNLT	Farringdon (London) Rail Station	Clerkenwell	-0.1052	51.52017	284	668	913
9400ZZLUCYF	Canary Wharf Underground Station	Canary Wharf	-0.01824	51.50349	284	645	908
9400ZZLUPCO	Pimlico Underground Station	Pimlico	-0.13376	51.4891	283	694	935
9400ZZLUMYB	Marylebone Underground Station	Marylebone	-0.1632	51.52233	283	663	924
9400ZZLUKNB	Knightsbridge Underground Station	Knightsbridge	-0.1605	51.50167	282	685	919
9100HGHI	Highbury & Islington Rail Station	Highbury	-0.10376	51.54618	282	628	898
9400ZZLUCTN	Camden Town Underground Station	Camden Town	-0.14274	51.5393	282	642	909
9400ZZLUVXL	Vauxhall Underground Station	Vauxhall	-0.1242	51.48575	281	678	932
9400ZZLUERC	Edgware Road (Circle Line) Underground Station	Edgware Road	-0.16783	51.51986	277	647	917
9100SURREYQ	Surrey Quays Rail Station	Surrey Quays	-0.04751	51.4932	277	624	886
9400ZZLUSKW	Stockwell Underground Station	Stockwell	-0.12264	51.47219	276	660	912
9400ZZLUSSQ	Sloane Square Underground Station	Sloane Square	-0.15637	51.49227	275	685	925
9100STPX	London St Pancras International Rail Station	St Pancras	-0.12718	51.5324	275	630	909
9100CNDAW	Canada Water Rail Station	Canada Water	-0.04971	51.49799	274	636	899
9100HIGHBYA	Highbury & Islington Rail Station	Highbury	-0.10376	51.54609	274	600	892
9400ZZLUMED	Mile End Underground Station	Mile End	-0.03363	51.52513	271	577	883
9100CLPHMJ1	Clapham Junction Rail Station	Clapham Junction	-0.17022	51.46419	271	624	901
9100NEWXGTE	New Cross Gate Rail Station	New Cross Gate/Sth Bermondsey	-0.04039	51.47513	269	598	880
9100CNNB	Canonbury Rail Station	Canonbury	-0.09219	51.54874	269	582	873
9100DRYP	Drayton Park Rail Station	Highbury	-0.1055	51.55278	267	604	891
9100BATRSPK	Battersea Park Rail Station	Battersea	-0.14753	51.47696	266	644	926
9400ZZDLLIM	Limehouse DLR Station	Limehouse	-0.0398	51.5124	266	614	888
9400ZZLUNGW	North Greenwich Underground Station	North Greenwich	0.0043	51.50047	264	609	890
9100RTHERHI	Rotherhithe Rail Station	Rotherhithe/Surrey Quays	-0.05204	51.50082	263	622	887
9400ZZLUCFM	Chalk Farm Underground Station	Chalk Farm	-0.15338	51.54412	263	616	894
9100CTMSLNK	City Thameslink Rail Station	City of London	-0.10358	51.51394	262	637	898
9400ZZLUOVL	Oval Underground Station	Oval	-0.11243	51.48185	261	644	901
9400ZZLUGTR	Gloucester Road Underground Station	Gloucester Road	-0.18265	51.49432	260	642	910
9100KNTSHTN	Kentish Town Rail Station	Kentish Town	-0.14036	51.5505	260	606	890
9400ZZLUSKS	South Kensington Underground Station	South Kensington	-0.17414	51.4941	259	658	912
9400ZZLUCAR	Caledonian Road Underground Station	Caledonian Road	-0.11849	51.54852	259	604	892
9100STFODOM	Stratford International Rail Station	Stratford	-0.00877	51.54483	258	547	871
9400ZZDLEIN	East India DLR Station	East India	-0.00232	51.50936	258	528	853
9100CLPHMJW	Clapham Junction Rail Station	Clapham Junction	-0.17025	51.46419	257	625	901
9400ZZLUHPK	Holland Park Underground Station	Holland Park	-0.20568	51.50715	256	625	898
9400ZZDLCGT	Canning Town DLR Station	Canning Town	0.00811	51.51413	256	553	860
9400ZZLUSJW	St. John's Wood Underground Station	St Johns Wood	-0.17395	51.53453	255	643	909
9400ZZLUCGT	Canning Town Underground Station	Canning Town	0.00833	51.51359	255	587	880
9100SHADWEL	Shadwell Rail Station	Shadwell	-0.05693	51.51129	255	601	871
9400ZZLUFPK	Finsbury Park Underground Station	Finsbury Park	-0.10682	51.56416	255	584	888
9400ZZLUERB	Edgware Road (Bakerloo) Underground Station	Edgware Road	-0.17015	51.5203	255	632	911
9100STFD	Stratford (London) Rail Station	Stratford	-0.00339	51.5419	254	508	839
9100WAPPING	Wapping Rail Station	Wapping	-0.05592	51.50439	253	594	875
9100MARYLBN	London Marylebone Rail Station	Marylebone	-0.16291	51.52253	253	605	906
9100FNPK	Finsbury Park Rail Station	Finsbury Park	-0.10628	51.56431	253	574	876
9400ZZLUSTD	Stratford Underground Station	Stratford	-0.00345	51.54181	253	523	848
9400ZZLUKSH	Kentish Town Underground Station	Kentish Town	-0.14073	51.55032	253	600	892
9100NWCROSS	New Cross Rail Station	New Cross	-0.03242	51.47635	253	586	874
9400ZZLUPAC	Paddington Underground Station	Paddington	-0.17569	51.51659	252	617	914
9400ZZDLTWG	Tower Gateway DLR Station	Tower Gateway	-0.07481	51.51062	252	610	881
9100ELPHNAC	Elephant & Castle Rail Station	Elephant & Castle	-0.09872	51.49403	252	621	891
9400ZZDLPOP	Poplar DLR Station	Poplar	-0.01738	51.50775	251	557	856
9400ZZDLBLA	Blackwall DLR Station	South Bromley	-0.00696	51.50799	251	530	844
9400ZZDLWFE	Westferry DLR Station	Westferry	-0.02674	51.50944	249	573	869
9400ZZLUHSK	High Street Kensington Underground Station	High Street Kensington	-0.19279	51.50106	248	631	911
9400ZZLUWPL	Whitechapel Underground Station	Whitechapel	-0.05996	51.51952	247	562	861
9400ZZLUADE	Aldgate East Underground Station	Aldgate East	-0.07238	51.51504	246	601	882
9100WCHAPEL	Whitechapel Rail Station	Whitechapel	-0.05975	51.51947	246	560	852
9400ZZDLSTD	Stratford DLR Station	Stratford	-0.00328	51.54176	245	511	839
9400ZZLUHWY	Holloway Road Underground Station	Holloway Road	-0.11324	51.5527	244	576	884
9400ZZDLPUD	Pudding Mill Lane DLR Station	Pudding Mill Lane	-0.01414	51.53413	244	516	839
9100PCKHMQD	Queens Road Peckham Rail Station	Peckham	-0.05731	51.47357	242	588	865
9100DALS	Dalston Junction Rail Station	Kingsland	-0.07513	51.54612	241	537	844
9100CLDNNRB	Caledonian Road & Barnsbury Rail Station	Barnsbury	-0.11672	51.54305	240	556	864
9400ZZLUWHM	West Ham Underground Station	West Ham	0.00506	51.52814	240	553	856
9400ZZLUBWT	Bayswater Underground Station	Bayswater	-0.18794	51.51229	240	613	908
9400ZZLUSBC	Shepherd's Bush (Central) Underground Station	Shepherd's Bush	-0.21881	51.50438	240	593	888
9400ZZLUECT	Earl's Court Underground Station	Earls Court	-0.19338	51.49207	239	610	888
9100SBRMNDS	South Bermondsey Rail Station	Bermondsey	-0.05467	51.48814	238	606	885
9100FENCHRS	London Fenchurch Street Rail Station	City of London	-0.07889	51.51165	237	589	878
9400ZZLUASL	Arsenal Underground Station	Arsenal	-0.10745	51.55866	237	555	874
9100BTHNLGR	Bethnal Green Rail Station	Bethnal Green	-0.05956	51.52392	237	565	862
9400ZZLUSWC	Swiss Cottage Underground Station	Swiss Cottage	-0.17489	51.54369	236	601	884
9100DENMRKH	Denmark Hill Rail Station	Camberwell	-0.08936	51.46821	236	587	868
9400ZZDLWIQ	West India Quay DLR Station	West India Quay	-0.0203	51.50703	235	559	859
9400ZZDLSIT	Stratford International DLR Station	Stratford	-0.00963	51.54527	235	512	850
9100QTRDBAT	Queenstown Road (Battersea) Rail Station	Battersea	-0.14667	51.47497	235	618	897
9100DALSKLD	Dalston Kingsland Rail Station	Kingsland	-0.07569	51.54815	235	514	831
9400ZZDLCAN	Canary Wharf DLR Station	Canary Wharf	-0.02099	51.50484	234	568	867
9400ZZLUSGN	Stepney Green Underground Station	Stepney Green	-0.04659	51.52186	233	525	842
9100LIMHSE	Limehouse Rail Station	Limehouse	-0.0398	51.51254	233	547	848
9400ZZDLSHS	Stratford High Street DLR Station	Stratford	-0.00107	51.5382	232	497	831
9400ZZLUBWR	Bow Road Underground Station	Bow	-0.02512	51.52694	232	510	840
9100KENOLYM	Kensington Olympia Rail Station	Kensington	-0.21036	51.4979	231	596	877
9100SHPDSB	Shepherds Bush Rail Station	Shepherd's Bush	-0.21765	51.50529	230	582	871
9100PADTON	London Paddington Rail Station	Paddington	-0.17617	51.516	230	556	881
9100CSEAH	Imperial Wharf Rail Station	Fulham	-0.18282	51.47495	228	590	866
9100TTNHMHL	Tottenham Hale Rail Station	Tottenham Hale	-0.05992	51.58832	228	501	826
9400ZZDLABR	Abbey Road DLR Station	Stratford	0.00374	51.53193	227	498	828
9400ZZDLHEQ	Heron Quays DLR Station	Heron Quays	-0.02141	51.50338	226	562	855
9400ZZLUBZP	Belsize Park Underground Station	Belsize Park	-0.16464	51.55032	226	568	876
9400ZZLUCPN	Clapham North Underground Station	Clapham	-0.13001	51.46514	226	590	873
9100WHMDSTD	West Hampstead Rail Station	West Hampstead	-0.19118	51.54747	225	541	855
9100ECROYDN	East Croydon Rail Station	Croydon	-0.09278	51.37545	225	577	858
9400ZZLUFYR	Finchley Road Underground Station	Finchley Road	-0.17984	51.54683	224	587	878
9100HAGGERS	Haggerston Rail Station	Haggerston	-0.07566	51.53871	224	513	834
9100SHRDHST	Shoreditch High Street Rail Station	Shoreditch	-0.07524	51.52338	222	540	841
9400ZZLUWHP	West Hampstead Underground Station	West Hampstead	-0.19106	51.54664	222	564	869
9100NORWDJ	Norwood Junction Rail Station	South Norwood	-0.07522	51.39702	222	561	843
9400ZZDLWHM	West Ham DLR Station	West Ham	0.00449	51.5279	221	505	829
9100WHMPSTM	West Hampstead Thameslink Rail Station	West Hampstead	-0.19183	51.54848	221	554	860
9400ZZLUPAH	Paddington (H&C Line)-Underground	Paddington	-0.1783	51.51819	220	582	892
9400ZZLUSVS	Seven Sisters Underground Station	Seven Sisters	-0.07258	51.58334	220	540	854
9400ZZLUBXN	Brixton Underground Station	Brixton	-0.11488	51.46262	220	602	883
9400ZZLUWKA	Warwick Avenue Underground Station	Warwick Avenue	-0.18378	51.52327	219	556	879
9100LEWISHM	Lewisham Rail Station	Lewisham	-0.01402	51.46569	219	524	828
9100HERNEH	Herne Hill Rail Station	Herne Hill	-0.10228	51.45331	218	558	859
9100BROCKLY	Brockley Rail Station	Brockley	-0.03753	51.46465	217	545	845
9100HACKNYC	Hackney Central Rail Station	Hackney	-0.05605	51.54711	217	495	815
9100HRGY	Harringay Rail Station	Harringay	-0.10513	51.57736	216	518	847
9400ZZDLSTL	Star Lane DLR Station	Canning Town	0.00416	51.52079	216	499	827
9400ZZLUTFP	Tufnell Park Underground Station	Tufnell Park	-0.13843	51.55683	213	547	865
9100CMDNRD	Camden Road Rail Station	Camden Town	-0.1387	51.5418	213	517	847
9100BALHAM	Balham Rail Station	Balham	-0.15242	51.44323	213	550	855
9100HOXTON	Hoxton Rail Station	Hoxton	-0.07568	51.53152	213	524	838
9400ZZLUTMH	Tottenham Hale Underground Station	Tottenham Hale	-0.06023	51.58811	213	510	834
9100PKHMRYC	Peckham Rye Rail Station	Peckham	-0.06939	51.47004	212	539	819
9100NWCRELL	New Cross ELL Rail Station	New Cross	-0.03243	51.47635	211	523	821
9100WHAMHL	West Ham Rail Station	West Ham	0.00544	51.52849	210	490	819
9400ZZLUBBB	Bromley-by-Bow Underground Station	Bromley	-0.01153	51.52484	210	483	813
9400ZZDLALL	All Saints DLR Station	All Saints	-0.01313	51.511	209	500	821
9400ZZLULYN	Leyton Underground Station	Leyton	-0.00551	51.55659	208	458	800
9100SHMPSTD	South Hampstead Rail Station	South Hampstead	-0.17887	51.54144	208	547	856
9400ZZDLRVC	Royal Victoria DLR Station	Royal Victoria	0.01851	51.50934	207	496	826
9400ZZLUWCY	White City Underground Station	White City	-0.2243	51.51196	207	526	838
9100NEWXGEL	New Cross Gate ELL Rail Station	New Cross Gate/Sth Bermondsey	-0.04041	51.47513	206	524	821
9400ZZLUMRH	Manor House Underground Station	Manor House	-0.09611	51.57074	206	501	840
9100DEPTFD	Deptford Rail Station	Deptford	-0.02626	51.47885	205	560	857
9100CLPHHS	Clapham High Street Rail Station	Clapham	-0.13252	51.46548	205	577	862
9100HAKNYNM	Hackney Downs Rail Station	Hackney	-0.06081	51.54876	205	489	812
9100HONROPK	Honor Oak Park Rail Station	Honor Oak Park	-0.0455	51.44999	205	524	821
9100WANDCMN	Wandsworth Common Rail Station	Wandsworth Common	-0.16338	51.44619	205	574	866
9100ERLFLD	Earlsfield Rail Station	Earlsfield	-0.18771	51.44234	205	569	862
9100WDWTOWN	Wandsworth Town Rail Station	Wandsworth	-0.18812	51.46105	204	573	867
9100PCKHMRY	Peckham Rye Rail Station	Peckham	-0.06941	51.47004	204	530	815
9400ZZLUPLW	Plaistow Underground Station	Plaistow	0.01746	51.53135	203	482	813
9100MRYLAND	Maryland Rail Station	Stratford	0.00582	51.54609	203	458	793
9400ZZDLBOW	Bow Church DLR Station	Bow	-0.02093	51.52786	202	475	803
9100WLSDJHL	Willesden Junction Rail Station	Willesden	-0.24455	51.5325	202	514	817
9400ZZDLSOQ	South Quay DLR Station	South Quay	-0.01903	51.50056	202	534	835
9100BRBY	Brondesbury Rail Station	Brondesbury	-0.20231	51.54517	202	509	822
9100HOMRTON	Homerton Rail Station	Homerton	-0.04235	51.54702	202	468	786
9100TULSEH	Tulse Hill Rail Station	Tulse Hill	-0.10507	51.43986	201	511	803
9100BRIXTON	Brixton Rail Station	Brixton	-0.11418	51.4633	200	566	858
9100FNCHLYR	Finchley Road & Frognal Rail Station	West Hampstead	-0.18314	51.55027	200	512	820
9100ALEXNDP	Alexandra Palace Rail Station	Alexandra Palace	-0.12023	51.59793	200	489	835
9100GNWH	Greenwich Rail Station	Greenwich	-0.01333	51.47814	199	543	846
9100CAMHTH	Cambridge Heath (London) Rail Station	Bethnal Green	-0.05727	51.53198	199	476	804
9100LBGHJN	Loughborough Junction Rail Station	Brixton	-0.10218	51.4663	199	541	843
9400ZZLUBSC	Barons Court Underground Station	Barons Court	-0.21343	51.49032	198	544	833
9400ZZLUACY	Archway Underground Station	Archway	-0.13481	51.56548	198	520	852
9400ZZLUKOY	Kensington (Olympia) Underground Station	Olympia	-0.21001	51.49763	197	551	835
9400ZZLUWBN	West Brompton Underground Station	West Brompton	-0.1956	51.48727	197	560	839
9400ZZDLCLA	Crossharbour DLR Station	Crossharbour	-0.0146	51.49573	196	516	819
9100KNTSHTW	Kentish Town West Rail Station	Kentish Town	-0.14665	51.54655	195	501	822
9100LDYW	Ladywell Rail Station	Ladywell	-0.01903	51.45625	195	509	819
9400ZZLUMVL	Maida Vale Underground Station	Maida Vale	-0.18576	51.52978	195	516	852
9400ZZLURYO	Royal Oak Underground Station	Royal Oak	-0.18875	51.51912	194	532	857
9400ZZDLWSV	West Silvertown DLR Station	Silvertown	0.02247	51.50284	194	483	810
9100HACKNYW	Hackney Wick Rail Station	Hackney Wick	-0.02491	51.54342	194	446	776
9100GOSPLOK	Gospel Oak Rail Station	Gospel Oak	-0.15077	51.55534	193	493	809
9400ZZLUHTD	Hampstead Underground Station	Hampstead	-0.17848	51.55664	192	518	852
9100KLBRNHR	Kilburn High Road Rail Station	Kilburn	-0.19223	51.53728	191	513	835
9100STJOHNS	St Johns (London) Rail Station	St John's	-0.02271	51.46939	190	493	811
9100LONFLDS	London Fields Rail Station	Hackney	-0.05775	51.54116	190	469	797
9100WBRMPTN	West Brompton Rail Station	West Brompton	-0.19559	51.48707	190	559	847
9400ZZLUKBN	Kilburn Underground Station	Brondesbury	-0.2041	51.54681	190	515	834
9100NUNHEAD	Nunhead Rail Station	Nunhead	-0.05227	51.46683	189	495	789
9400ZZLUBLM	Balham Underground Station	Balham	-0.15299	51.44329	189	534	839
9100FRSTGT	Forest Gate Rail Station	Forest Gate	0.02436	51.54944	189	437	776
9400ZZDLCUS	Custom House (for ExCel) DLR Station	Custom House	0.02671	51.50972	188	479	810
9400ZZLUCPC	Clapham Common Underground Station	Clapham	-0.13831	51.46175	188	556	854
9100WNDSWRD	Wandsworth Road Rail Station	Clapham	-0.13852	51.47022	187	561	847
9100QPRK	Queens Park (London) Rail Station	Kensal Rise	-0.20498	51.53397	186	494	819
9100WDON	Wimbledon Rail Station	Wimbledon	-0.20637	51.42128	186	520	824
9400ZZDLDEV	Devons Road DLR Station	Devons Road	-0.01761	51.52267	186	466	795
9100HMPSTDH	Hampstead Heath Rail Station	Hampstead	-0.1657	51.55522	186	492	807
9400ZZLUWKN	West Kensington Underground Station	West Kensington	-0.20663	51.49046	185	533	825
9400ZZLUCPS	Clapham South Underground Station	Clapham South	-0.14758	51.45266	184	542	848
9100SELHRST	Selhurst Rail Station	Selhurst	-0.0883	51.39193	184	524	824
9100STRETHM	Streatham Rail Station	Streatham	-0.13155	51.42581	183	482	785
9100PUTNEY	Putney Rail Station	Putney	-0.21647	51.46131	183	556	841
9100BRBYPK	Brondesbury Park Rail Station	Brondesbury Park	-0.21013	51.5407	183	482	803
9400ZZLUKPK	Kilburn Park Underground Station	Kilburn Park	-0.19423	51.53498	182	489	820
9100FORESTH	Forest Hill Rail Station	Forest Hill	-0.05315	51.43928	180	494	798
9100CRKLWD	Cricklewood Rail Station	Cricklewood	-0.21267	51.55846	179	512	831
9100SYDENHM	Sydenham Rail Station	Sydenham	-0.05424	51.42725	178	497	795
9400ZZLULYS	Leytonstone Underground Station	Leytonstone	0.0082	51.56833	178	422	762
9100HRNSY	Hornsey Rail Station	Hornsey	-0.11197	51.58647	176	478	826
9400ZZALGWP	Emirates Greenwich Peninsula (Air Line terminal)	North Greenwich	0.00721	51.49927	174	497	817
9100SEVNSIS	Seven Sisters Rail Station	Seven Sisters	-0.07526	51.58227	173	474	806
9400ZZLUHSD	Hammersmith (Dist&Picc Line) Underground Station	Hammersmith	-0.22362	51.4923	173	509	822
9400ZZLUUPK	Upton Park Underground Station	Upton Park	0.03527	51.53535	173	445	777
9100BARKING	Barking Rail Station	Barking	0.08091	51.5395	172	420	747
9400ZZCRECR	East Croydon Tramlink Stop	Croydon	-0.09241	51.37486	172	515	810
9400ZZLUBLR	Blackhorse Road Underground Station	Blackhorse Road	-0.04114	51.58693	171	482	809
9400ZZLUWSP	Westbourne Park Underground Station	Westbourne Park	-0.20106	51.52111	171	488	835
9100KENR	Kensal Rise Rail Station	Kensal Rise	-0.21996	51.53456	170	465	794
9400ZZLUFBY	Fulham Broadway Underground Station	Fulham Broadway	-0.19542	51.48008	170	517	820
9400ZZLUEAN	East Acton Underground Station	East Acton	-0.24725	51.51662	169	462	796
9100EDULWCH	East Dulwich Rail Station	East Dulwich	-0.08057	51.4615	169	464	757
9100WLSDNJL	Willesden Junction Low Level Rail Station	Willesden	-0.24327	51.53203	169	442	783
9100WDULWCH	West Dulwich Rail Station	West Dulwich	-0.09137	51.44072	169	505	825
9100WNORWOD	West Norwood Rail Station	West Norwood	-0.10383	51.43175	168	485	773
9100ILFORD	Ilford Rail Station	Ilford	0.06969	51.55912	168	404	735
9400ZZLULAD	Ladbroke Grove Underground Station	Ladbroke Grove	-0.21039	51.51745	167	471	817
9100MANRPK	Manor Park Rail Station	Manor Park	0.04635	51.55248	167	403	733
9400ZZDLMUD	Mudchute DLR Station	Mudchute	-0.01473	51.49071	167	469	786
9400ZZLULRD	Latimer Road Underground Station	Latimer Road	-0.2178	51.51339	166	463	807
9100RCTRYRD	Rectory Road Rail Station	Stoke Newington	-0.06826	51.55851	165	443	786
9400ZZDLLEW	Lewisham DLR Station	Lewisham	-0.01287	51.46467	165	459	785
9400ZZLUTNG	Turnham Green Underground Station	Turnham Green	-0.25455	51.49515	165	447	777
9100CFPK	Crofton Park Rail Station	Brockley	-0.0365	51.45519	165	463	768
9400ZZLUWLA	Wood Lane Underground Station	Shepherd's Bush	-0.22453	51.50967	165	461	807
9100CRYSTLP	Crystal Palace Rail Station	Crystal Palace	-0.0726	51.41811	164	474	768
9400ZZLUWIG	Willesden Green Underground Station	Willesden Green	-0.22153	51.54915	163	471	806
9400ZZDLGRE	Greenwich DLR Station	Greenwich	-0.01367	51.47809	163	467	785
9400ZZDLELV	Elverson Road DLR Station	Elverson Road	-0.01672	51.46908	161	447	774
9400ZZLURVP	Ravenscourt Park Underground Station	Ravenscourt Park	-0.23588	51.49413	161	459	787
9400ZZLUQPS	Queen's Park Underground Station	Queens Park	-0.20457	51.53416	161	467	795
9400ZZLUSBM	Shepherd's Bush Market Underground Station	Shepherd's Bush	-0.22637	51.50558	160	454	803
9100BOWESPK	Bowes Park Rail Station	Wood Green	-0.12058	51.60702	159	453	804
9100NDULWCH	North Dulwich Rail Station	Dulwich Village	-0.08791	51.45451	159	454	750
9100STOTNHM	South Tottenham Rail Station	South Tottenham	-0.0721	51.58038	159	458	776
9400ZZDLPDK	Pontoon Dock DLR Station	Silvertown	0.03212	51.50222	158	448	775
9100ESTFLDS	Mitcham Eastfields Rail Station	Mitcham	-0.15464	51.40774	158	473	789
9400ZZLUHGT	Highgate Underground Station	Highgate	-0.14585	51.57754	158	464	810
9100STRHILL	Streatham Hill Rail Station	Streatham Hill	-0.12716	51.4382	158	476	791
9100STKNWNG	Stoke Newington Rail Station	Stoke Newington	-0.07288	51.56524	158	432	780
