code	name	placeName	Longitude	Latitude	num_accessible_stations_30m	num_accessible_stations_45m	num_accessible_stations_60m
9300MHT	Masthouse Terrace Pier	Millwall	-0.02193	51.4875	7	12	14
9100LLNSMLT	Llansamlet Rail Station	Llansamlet	-3.88471	51.6615	7	13	23
9100SVRNBCH	Severn Beach Rail Station	Severn Beach	-2.66449	51.56002	7	10	20
9100LOWSTFT	Lowestoft Rail Station	Lowestoft	1.74973	52.47446	7	16	23
9100NMPTN	Northampton Rail Station	Northampton	-0.90665	52.23751	7	20	66
9100LLGMMRW	Llangammarch Rail Station	Llangammarch	-3.55483	52.11431	7	10	16
9100WEMM	Wem Rail Station	Wem	-2.71802	52.85642	7	21	47
9100AVNCLFF	Avoncliff Rail Station	Avoncliff	-2.28134	51.33965	7	22	37
9100SPFD	Springfield Rail Station	Springfield	-3.05245	56.29496	7	17	29
9100BARWHVN	Barrow Haven Rail Station	Barrow Haven	-0.39295	53.69743	7	13	17
9100LELANT	Lelant Rail Station	Lelant	-5.43661	50.18411	7	9	12
9100SETTLE	Settle Rail Station	Settle	-2.28071	54.06692	7	19	25
9100LNGNDRY	Longniddry Rail Station	Longniddry	-2.88834	55.97648	7	24	46
9100TONFNAU	Tonfanau Rail Station	Ton-fanau	-4.12371	52.61356	7	14	18
9100MLVRNLK	Malvern Link Rail Station	Malvern Link	-2.31952	52.12548	7	15	33
9100RYDS	Ryde St Johns Road Rail Station	Ryde	-1.15657	50.72435	7	7	10
9100HTNCRNS	Hutton Cranswick Rail Station	Hutton Cranswick	-0.43385	53.95587	7	11	19
9100BODMNPW	Bodmin Parkway Rail Station	Bodmin	-4.66297	50.44586	7	18	32
9100WRABNES	Wrabness Rail Station	Wrabness	1.17151	51.93952	7	18	39
9100BGOALAN	Bridge of Allan Rail Station	Bridge of Allan	-3.95723	56.15662	7	16	75
9100HRTLEPL	Hartlepool Rail Station	Hartlepool	-1.20731	54.68676	7	27	46
9100CROT	Croston Rail Station	Croston	-2.77775	53.66757	7	38	96
9100CLYNDRW	Clunderwen Rail Station	Narberth	-4.73188	51.84055	7	14	20
9300GNW	Greenwich Pier	Greenwich	-0.00965	51.48362	7	11	13
9100WCHR	Whitchurch (Shrops) Rail Station	Whitchurch	-2.6717	52.96808	7	19	52
9100DARSHAM	Darsham Rail Station	Darsham	1.52348	52.27301	6	9	12
9100MATLOCK	Matlock Rail Station	Matlock	-1.55891	53.13843	6	9	23
9100DREMJ	Drem Rail Station	Drem	-2.78605	56.00512	6	16	38
9100MINMARS	Moreton-in-Marsh Rail Station	Moreton-in-Marsh	-1.70039	51.99228	6	11	21
9100LLDVERY	Llandovery Rail Station	Llandovery	-3.80285	51.99532	6	11	17
9100ATTLBON	Attleborough Rail Station	Attleborough	1.02236	52.51457	6	18	29
9100BEDYN	Bedwyn Rail Station	Bedwyn	-1.5988	51.37963	6	11	29
9100PNYPANT	Pont-y-Pant Rail Station	Pont-y-Pant	-3.86274	53.06515	6	9	14
9100SXMNDHM	Saxmundham Rail Station	Saxmundham	1.49018	52.21492	6	9	16
9100CNST	Carnoustie Rail Station	Carnoustie	-2.70659	56.50055	6	12	18
9100SDRSFOT	Saundersfoot Rail Station	Saundersfoot	-4.71662	51.72209	6	11	18
9100THUSTON	Thurston Rail Station	Thurston	0.80866	52.25002	6	12	29
9100CHETNOL	Chetnole Rail Station	Chetnole	-2.57294	50.86635	6	13	23
9100CLWALL	Colwall Rail Station	Colwall	-2.35696	52.07988	6	10	22
9100CRKRN	Crewkerne Rail Station	Crewkerne	-2.77851	50.87352	6	12	19
9100BOSTON	Boston Rail Station	Boston	-0.031	52.97812	6	11	15
9100BRFRY	Broughty Ferry Rail Station	Broughty Ferry	-2.87315	56.46715	6	12	20
9100BECCLES	Beccles Rail Station	Beccles	1.56951	52.45854	6	9	14
9100HONITON	Honiton Rail Station	Honiton	-3.18675	50.79657	6	18	32
9100PNTRBCH	Pentre-Bach Rail Station	Pentrebach	-3.36233	51.72501	6	13	31
9100CARBISB	Carbis Bay Rail Station	Carbis Bay	-5.46333	50.19704	6	8	10
9100MAESTER	Maesteg (Ewenny Road) Rail Station	Maesteg	-3.64901	51.60534	6	11	21
9100STIVES	St Ives (Cornwall) Rail Station	St Ives	-5.47798	50.20903	6	8	10
9100GRATELY	Grateley Rail Station	Grateley	-1.62078	51.17006	6	17	43
9100BLCKS	Blackpool South Rail Station	Blackpool	-3.04894	53.79871	6	9	26
9100CILMERY	Cilmeri Rail Station	Cilmery	-3.45655	52.15053	6	11	16
9100CMBH	Cwmbach Rail Station	Cwmbach	-3.41374	51.70193	6	14	28
9100ABDVY	Aberdovey Rail Station	Aberdovey	-4.05708	52.54397	6	10	16
9100CTTGHM	Cottingham Rail Station	Cottingham	-0.40643	53.78166	6	14	23
9100YTMNSTR	Yetminster Rail Station	Yetminster	-2.57377	50.89575	6	12	25
9100SCNTHRP	Scunthorpe Rail Station	Scunthorpe	-0.65098	53.5862	6	12	35
9100SGRLOAF	Sugar Loaf Rail Station	Tirabad	-3.68697	52.08228	6	11	16
9100BRDNML	Bardon Mill Rail Station	Bardon Mill	-2.3465	54.97449	6	11	15
9100TORRE	Torre Rail Station	Torre	-3.54644	50.47317	6	10	21
9100TYCROES	Ty Croes Rail Station	Ty Croes	-4.47475	53.22258	6	10	15
